iter	Passed	Remaining
565	7898	6056
566	7911	6041
567	7922	6025
568	7935	6010
569	7948	5996
570	7967	5986
571	7981	5972
572	7993	5956
573	8013	5947
574	8029	5934
575	8046	5922
576	8061	5909
577	8079	5898
578	8097	5887
579	8107	5871
580	8121	5856
581	8134	5842
582	8146	5827
583	8159	5812
584	8173	5798
585	8184	5781
586	8196	5766
587	8208	5751
588	8223	5738
589	8235	5723
590	8247	5707
591	8258	5691
592	8271	5677
593	8285	5663
594	8300	5649
595	8312	5634
596	8324	5619
597	8338	5605
598	8353	5591
599	8366	5577
600	8379	5563
601	8397	5551
602	8413	5539
603	8427	5525
604	8443	5512
605	8463	5502
606	8479	5489
607	8495	5477
608	8508	5462
609	8521	5448
610	8537	5435
611	8550	5421
612	8567	5408
613	8587	5398
614	8605	5386
615	8622	5375
616	8639	5362
617	8654	5349
618	8667	5334
619	8683	5322
620	8696	5307
621	8709	5292
622	8722	5278
623	8736	5264
624	8748	5248
625	8760	5233
626	8773	5219
627	8786	5204
628	8802	5191
629	8814	5176
630	8826	5161
631	8840	5147
632	8851	5131
633	8864	5117
634	8876	5102
635	8889	5087
636	8901	5072
637	8912	5057
638	8926	5043
639	8939	5028
640	8952	5013
641	8967	5000
642	8983	4987
643	8998	4974
644	9014	4961
645	9024	4945
646	9036	4930
647	9050	4916
648	9065	4902
649	9075	4887
650	9088	4872
651	9102	4858
652	9114	4843
653	9126	4828
654	9137	4813
655	9151	4798
656	9163	4784
657	9175	4769
658	9186	4753
659	9199	4739
660	9215	4726
661	9229	4712
662	9241	4697
663	9255	4683
664	9267	4668
665	9280	4654
666	9294	4640
667	9306	4625
668	9319	4611
669	9332	4596
670	9344	4581
671	9356	4566
672	9368	4552
673	9381	4537
674	9393	4522
675	9406	4508
676	9419	4493
677	9431	4479
678	9445	4465
679	9461	4452
680	9473	4437
681	9487	4423
682	9502	4410
683	9515	4395
684	9528	4381
685	9542	4367
686	9553	4352
687	9564	4337
688	9577	4322
689	9589	4308
690	9602	4293
691	9614	4279
692	9627	4265
693	9640	4250
694	9654	4236
695	9669	4223
696	9681	4208
697	9694	4194
